case_id,instr,actual_rd,actual_vxsat,status,note
C0000001,PSADD.B,0x81818181,0,OK,
C0000002,PSADD.B,0x7f7f7f7f,0,OK,
C0000003,PSADD.B,0x00000000,0,OK,
C0000004,PSADD.B,0x7f7f7f7f,0,OK,
C0000005,PSADD.B,0x00000000,0,OK,
C0000006,PSADD.B,0x7f7f7f7f,0,OK,
C0000007,PSADD.B,0x80808080,0,OK,
C0000008,PSSUB.B,0x80808080,0,OK,
C0000009,PSSUB.B,0x7e7e7e7e,0,OK,
C0000010,PSSUB.B,0xfefefefe,0,OK,
C0000011,PSSUB.B,0x7c7c7c7c,0,OK,
C0000012,PSSUB.B,0x00000000,0,OK,
C0000013,PSSUB.B,0x00000000,0,OK,
C0000014,PSSUB.B,0x00000000,0,OK,
C0000015,PSSHAR.HS,0xffffffff,0,OK,
C0000016,PSSHAR.HS,0xffffffff,0,OK,
C0000017,PSSHAR.HS,0xffffffff,0,OK,
C0000018,PSSHAR.HS,0xc000c000,0,OK,
C0000019,PSSHAR.HS,0x80008000,0,OK,
C0000020,PSSHAR.HS,0x80008000,0,OK,
